DisplayName,Surname,GivenName,OfficePhone,EmailAddress,SamAccountName,Initials,Name,UserPrincipalName,Password
"Dickerson, Naida B R CTR USAF AFMC AEDC/XP",Dickerson,Naida,1-279-784-2250,Naida.B.Dickerson.10@fake.af.mil,16DBE,B,16DBE,16DBE@ftss.aetc.af.mil,23e#J@iwaAef
"Gaines, Ivory O W GG-12 (NON-MAIL ENABLED)",Gaines,Ivory,1-503-152-5345,Ivory.O.Gaines.7@fake.af.mil,2B7FC,O,2B7FC,2B7FC@ftss.aetc.af.mil,23e#J@iwaHef
"Burgess, Rigel A W Maj USAF AFRC 307 OSF/OGI",Burgess,Rigel,1-812-276-1366,Rigel.A.Burgess.18@fake.af.mil,D22E,A,D22E,D22E@ftss.aetc.af.mil,23e#J@iwaUef
"Hansen, Zeus I L SSgt USAF ANG 203 RHS/MERHC",Hansen,Zeus,589-3847,Zeus.I.Hansen.10@fake.af.mil,86DBE,I,86DBE,86DBE@ftss.aetc.af.mil,23e#J@iwaUef
"Thornton, Lance R A SSgt USAF USAFE 31 LRS/MXAAF",Thornton,Lance,1-762-487-6102,Lance.R.Thornton.13@fake.af.mil,E000,R,E000,E000@ftss.aetc.af.mil,23e#J@iwa1ef
"Perry, Pandora D D SrA USAF AETC 344 TRS/TTLE",Perry,Pandora,1-470-495-0159,Pandora.D.Perry.20@fake.af.mil,C0616,D,C0616,C0616@ftss.aetc.af.mil,23e#J@iwaUef
"Galloway, Camden E J SrA USAF ACC 69 RG DET 2/SFO",Galloway,Camden,356-3443,Camden.E.Galloway.14@fake.af.mil,8D3C,E,8D3C,8D3C@ftss.aetc.af.mil,23e#J@iwaAef
"Schneider, Shea S M SrA USAF ANG 146 AIR SUPT OPNS SQ/SF",Schneider,Shea,1-104-559-4518,Shea.S.Schneider.7@fake.af.mil,9E0C1,S,9E0C1,9E0C1@ftss.aetc.af.mil,23e#J@iwaUef
"Lopez, Noble B M NH-02 USAF AFMC 412 FSS/FSFS",Lopez,Noble,298-1397,Noble.B.Lopez.19@fake.af.mil,1C01,B,1C01,1C01@ftss.aetc.af.mil,23e#J@iwaAef
"Vang, Wynter M R A1C USAF AFGSC 341 SFS/S3OA",Vang,Wynter,1-746-548-6131,Wynter.M.Vang.18@fake.af.mil,489C5,M,489C5,489C5@ftss.aetc.af.mil,23e#J@iwaAef
"Middleton, Shellie Z T CIV USAF AFPC AFPC/MAMP",Middleton,Shellie,252-8204,Shellie.Z.Middleton.10@fake.af.mil,5C18C,Z,5C18C,5C18C@ftss.aetc.af.mil,23e#J@iwaAef
"Hart, Chelsea B W GS-10 USAF AFCENT 28 OP WEATHER SQ/WXT",Hart,Chelsea,858-5482,Chelsea.B.Hart.1@fake.af.mil,22DD,B,22DD,22DD@ftss.aetc.af.mil,23e#J@iwaUef
"Ramirez, Sheila A C A1C USAF 673 FSS",Ramirez,Sheila,657-5888,Sheila.A.Ramirez.15@fake.af.mil,30234,A,30234,30234@ftss.aetc.af.mil,23e#J@iwaAef
"Wynn, Sage V W III CIV USAF AFPC AFPC/MA-HR",Wynn,Sage,1-976-609-2373,Sage.V.Wynn.19@fake.af.mil,CF0B,V,CF0B,CF0B@ftss.aetc.af.mil,23e#J@iwaAef
"Donaldson, Jillian N D A1C USAF AETC 97 LRS/LGRF",Donaldson,Jillian,327-2226,Jillian.N.Donaldson.18@fake.af.mil,8072B,N,8072B,8072B@ftss.aetc.af.mil,23e#J@iwaCef
"Crawford, Martin M J MSgt USAF AKO 108 GLOBAL MOBILITY SQ/ako",Crawford,Martin,628-3379,Martin.M.Crawford.2@fake.af.mil,30AC8,M,30AC8,30AC8@ftss.aetc.af.mil,23e#J@iwaUef
"Fry, Larissa M N WG-08 USAF AFMC 566 AMXS/MXDVAB",Fry,Larissa,352-6619,Larissa.M.Fry.6@fake.af.mil,10646,M,10646,10646@ftss.aetc.af.mil,23e#J@iwaUef
"Delgado, Thomas D E SSgt USAF AFSOC 27 SOMOS/MXOC",Delgado,Thomas,1-761-718-6924,Thomas.D.Delgado.16@fake.af.mil,160F5,D,160F5,160F5@ftss.aetc.af.mil,23e#J@iwaCef
"Sears, Vivian L K JR WG-05 USAF AFMC 88 ABW/CEOID",Sears,Vivian,1-137-109-8987,Vivian.L.Sears.18@fake.af.mil,47170,L,47170,47170@ftss.aetc.af.mil,23e#J@iwaUef
"Vincent, Beck H L Capt USAF PACAF 18 WG/CCE",Vincent,Beck,1-305-449-7013,Beck.H.Vincent.1@fake.af.mil,9B19B,H,9B19B,9B19B@ftss.aetc.af.mil,23e#J@iwaGef
"Mckee, Kenneth A A CTR USAF AFRC HQ AFRC/FMXS",Mckee,Kenneth,483-3793,Kenneth.A.Mckee.12@fake.af.mil,C4427,A,C4427,C4427@ftss.aetc.af.mil,23e#J@iwaCef
"Ortiz, Lee O A JR SrA USAF PACAF 51 CES/CEOHP",Ortiz,Lee,1-109-210-6406,Lee.O.Ortiz.9@fake.af.mil,2E963,O,2E963,2E963@ftss.aetc.af.mil,23e#J@iwaUef
"Peck, Kuame J A SMSgt USAF ANG 201 CCG/A6O1",Peck,Kuame,892-5871,Kuame.J.Peck.12@fake.af.mil,3B607,J,3B607,3B607@ftss.aetc.af.mil,23e#J@iwaUef
"Bailey, Indigo U I SMSgt USAF AFMC USAFSAM/ET",Bailey,Indigo,270-5909,Indigo.U.Bailey.5@fake.af.mil,CC25,U,CC25,CC25@ftss.aetc.af.mil,23e#J@iwaUef
"Blackburn, Glenna K JR GS-09 USAF AFSPC 45 SFS/S6",Blackburn,Glenna,226-8288,Glenna.K.Blackburn.13@fake.af.mil,2E19E,K,2E19E,2E19E@ftss.aetc.af.mil,23e#J@iwaAef
"Sullivan, Honorato X L CTR USAF AETC C-130J MATS/SIMMAINT",Sullivan,Honorato,1-416-844-6952,Honorato.X.Sullivan.4@fake.af.mil,4A9AE,X,4A9AE,4A9AE@ftss.aetc.af.mil,23e#J@iwaHef
"Hernandez, Kiayada V M Lt Col USAF ACC 20 CS/CC",Hernandez,Kiayada,1-794-742-4098,Kiayada.V.Hernandez.7@fake.af.mil,2D024,V,2D024,2D024@ftss.aetc.af.mil,23e#J@iwaUef
"Beck, Mari P M WL-10 USAF AFMC 573 AMXS/MXDPADB",Beck,Mari,209-4332,Mari.P.Beck.20@fake.af.mil,40A89,P,40A89,40A89@ftss.aetc.af.mil,23e#J@iwaUef
"Kelley, Lacota L D SSgt USAF ACC 49 SFS/S3O",Kelley,Lacota,1-863-624-3057,Lacota.L.Kelley.3@fake.af.mil,67C3C,L,67C3C,67C3C@ftss.aetc.af.mil,23e#J@iwa1ef
"Higgins, Anne R L GS-07 USAF AFGSC 509 FSS/CDC",Higgins,Anne,1-450-343-4905,Anne.R.Higgins.8@fake.af.mil,1CC4,R,1CC4,1CC4@ftss.aetc.af.mil,23e#J@iwaUef
"Tyler, Carla T M TSgt USAF ANG 108 MAINTENANCE SQ/CCQ",Tyler,Carla,929-3948,Carla.T.Tyler.7@fake.af.mil,32D0A,T,32D0A,32D0A@ftss.aetc.af.mil,23e#J@iwaAef
"Madden, Vivien V D CIV USAF AMC 628 CES/CEAC",Madden,Vivien,899-0974,Vivien.V.Madden.1@fake.af.mil,48A77,V,48A77,48A77@ftss.aetc.af.mil,23e#J@iwaUef
"Burt, Felicia A K CTR USAF AFMC 72 LRS/LGRFI",Burt,Felicia,1-778-940-2999,Felicia.A.Burt.1@fake.af.mil,3AD74,A,3AD74,3AD74@ftss.aetc.af.mil,23e#J@iwaAef
"Foreman, Reed W R GS-12 USAF AFMC 448 SCMW/FMR",Foreman,Reed,1-573-241-2687,Reed.W.Foreman.20@fake.af.mil,771EF,W,771EF,771EF@ftss.aetc.af.mil,23e#J@iwaAef
"Bolton, Elliott S R JR SSgt USAF ACJ14 180 AIRCRAFT MAINT SQ/lemonnier",Bolton,Elliott,319-0569,Elliott.S.Bolton.13@fake.af.mil,139CE,S,139CE,139CE@ftss.aetc.af.mil,23e#J@iwaCef
"Blanchard, Dacey L W TSgt USAF AFELM US SOCOM JX/J631",Blanchard,Dacey,1-523-838-1281,Dacey.L.Blanchard.9@fake.af.mil,2FA58,L,2FA58,2FA58@ftss.aetc.af.mil,23e#J@iwaUef
"Mejia, Gail C D 1st Lt USAF ANG 172 MEDICAL GP/SGO",Mejia,Gail,1-603-754-8110,Gail.C.Mejia.5@fake.af.mil,719A8,C,719A8,719A8@ftss.aetc.af.mil,23e#J@iwaUef
"Mullins, Jillian Y D SSgt USAF ACC 23 MXG/QA",Mullins,Jillian,1-454-399-1526,Jillian.Y.Mullins.19@fake.af.mil,8C925,Y,8C925,8C925@ftss.aetc.af.mil,23e#J@iwaCef
"Clark, Ryder B G CTR USAF AETC PAE/ITS ADM",Clark,Ryder,317-8793,Ryder.B.Clark.7@fake.af.mil,1B07A,B,1B07A,1B07A@ftss.aetc.af.mil,23e#J@iwaUef
"George, Quemby N M LCPL USMC PACAF 18 OSS/MWLK",George,Quemby,1-944-236-0556,Quemby.N.George.4@fake.af.mil,65900,N,65900,65900@ftss.aetc.af.mil,23e#J@iwaGef
"Nielsen, Sydnee K A MSgt USAF AMC 375 AMW/CCO",Nielsen,Sydnee,115-3082,Sydnee.K.Nielsen.11@fake.af.mil,A4F24,K,A4F24,A4F24@ftss.aetc.af.mil,23e#J@iwaCef
"Moon, Patience K L JR GS-13 USAF AMC 3 MRS/CD",Moon,Patience,629-7397,Patience.K.Moon.10@fake.af.mil,6A303,K,6A303,6A303@ftss.aetc.af.mil,23e#J@iwaUef
